,AB40_Monomer,AB42_Monomer,AB40_Oligomer,AB42_Oligomer,AB40_Fibril,AB42_Fibril,AB40_Plaque,AB42_Plaque,AB40_CSF_pg_mL,AB42_CSF_pg_mL
Tellurium,269.6778282670739,5.694781808913117,6590.908207134039,1939.728144247288,9634.010431046823,2759.9075531306535,352.1477198262222,387.55689828522,370282.26155851,7819.983325731979
Diffrax/JAX,269.6778284763102,5.694782102755013,6590.908201142239,1939.7280392713328,9634.01042238105,2759.9074067881966,352.14771961752865,387.55683551176776,370282.2618458052,7819.983729180097
