,AB40_Monomer,AB42_Monomer,AB40_Oligomer,AB42_Oligomer,AB40_Fibril,AB42_Fibril,AB40_Plaque,AB42_Plaque
Combined Master,269.67785463208736,5.6947816802204185,6590.907727773825,1939.728126234288,9634.00989722016,2759.9075756960106,352.14772298851335,387.55682275310386
ODE Version,269.6778284763102,5.694782102755013,6590.908201142239,1939.7280392713328,9634.01042238105,2759.9074067881966,352.14771961752865,387.55683551176776
